iter	Passed	Remaining
0	45	27408
1	45	13711
2	45	9144
3	46	6861
4	46	5487
5	46	4574
6	46	3922
7	46	3433
8	46	3052
9	46	2747
10	46	2497
11	46	2290
12	46	2114
13	46	1964
14	47	1833
15	47	1719
16	47	1618
17	47	1529
18	47	1449
19	47	1377
20	47	1310
21	47	1251
22	47	1197
23	47	1147
24	47	1101
25	47	1059
26	48	1020
27	48	984
28	48	950
29	48	918
30	48	889
31	48	861
32	48	835
33	48	810
34	48	787
35	48	766
36	48	745
37	49	725
38	49	707
39	49	689
40	49	673
41	49	657
42	49	641
43	49	627
44	49	613
45	49	600
46	49	587
47	50	575
48	50	563
49	50	552
50	50	541
51	50	530
52	50	520
53	50	511
54	50	501
55	50	492
56	50	484
57	50	475
58	51	467
59	51	459
60	51	452
61	51	445
62	51	437
63	51	431
64	51	424
65	51	417
66	51	411
67	51	405
68	51	399
69	52	393
70	52	388
71	52	382
72	52	377
73	52	372
74	52	367
75	52	362
76	52	357
77	52	352
78	52	348
79	52	344
80	53	339
81	53	335
82	53	331
83	53	327
84	53	323
85	53	319
86	53	315
87	53	312
88	53	308
89	53	305
90	53	301
91	54	298
92	54	295
93	54	291
94	54	288
95	54	285
96	54	282
97	54	279
98	54	276
99	54	273
100	54	271
101	54	268
102	55	265
103	55	262
104	55	260
105	55	257
106	55	255
107	55	252
108	55	250
109	55	247
110	55	245
111	55	243
112	55	241
113	56	238
114	56	236
115	56	234
116	56	232
117	56	230
118	56	228
119	56	226
120	56	224
121	56	222
122	56	220
123	56	218
124	57	216
125	57	214
126	57	213
127	57	211
128	57	209
129	57	207
130	57	206
131	57	204
132	57	202
133	57	201
134	57	199
135	58	198
136	58	196
137	58	194
138	58	193
139	58	191
140	58	190
141	58	188
142	58	187
143	58	186
144	58	184
145	58	183
146	59	181
147	59	180
148	59	179
149	59	177
150	59	176
151	59	175
152	59	174
153	59	172
154	59	171
155	59	170
156	59	169
157	60	167
158	60	166
159	60	165
160	60	164
161	60	163
162	60	162
163	60	161
164	60	159
165	60	158
166	60	157
167	60	156
168	61	155
169	61	154
170	61	153
171	61	152
172	61	151
173	61	150
174	61	149
175	61	148
176	61	147
177	61	146
178	61	145
179	62	144
180	62	143
181	62	142
182	62	141
183	62	141
184	62	140
185	62	139
186	62	138
187	62	137
188	62	136
189	62	135
190	63	134
191	63	134
192	63	133
193	63	132
194	63	131
195	63	130
196	63	130
197	63	129
198	63	128
199	63	127
200	63	126
201	64	126
202	64	125
203	64	124
204	64	123
205	64	123
206	64	122
207	64	121
208	64	120
209	64	120
210	64	119
211	64	118
212	65	118
213	65	117
214	65	116
215	65	116
216	65	115
217	65	114
218	65	114
219	65	113
220	65	112
221	65	112
222	65	111
223	66	110
224	66	110
225	66	109
226	66	108
227	66	108
228	66	107
229	66	107
230	66	106
231	66	105
232	66	105
233	66	104
234	66	104
235	67	103
236	67	102
237	67	102
238	67	101
239	67	101
240	67	100
241	67	100
242	67	99
243	67	98
244	67	98
245	68	97
246	68	97
247	68	96
248	68	96
249	68	95
250	68	95
251	68	94
252	68	94
253	68	93
254	68	93
255	68	92
256	69	92
257	69	91
258	69	91
259	69	90
260	69	90
261	69	89
262	69	89
263	69	88
264	69	88
265	69	87
266	69	87
267	70	86
268	70	86
269	70	85
270	70	85
271	70	84
272	70	84
273	70	83
274	70	83
275	70	83
276	70	82
277	70	82
278	71	81
279	71	81
280	71	80
281	71	80
282	71	79
283	71	79
284	71	79
285	71	78
286	71	78
287	71	77
288	71	77
289	72	76
290	72	76
291	72	76
292	72	75
293	72	75
294	72	74
295	72	74
296	72	74
297	72	73
298	72	73
299	72	72
300	73	72
301	73	72
302	73	71
303	73	71
304	73	70
305	73	70
306	73	70
307	73	69
308	73	69
309	73	69
310	73	68
311	73	68
312	74	67
313	74	67
314	74	67
315	74	66
316	74	66
317	74	66
318	74	65
319	74	65
320	74	64
321	74	64
322	74	64
323	75	63
324	75	63
325	75	63
326	75	62
327	75	62
328	75	62
329	75	61
330	75	61
331	75	61
332	75	60
333	75	60
334	76	60
335	76	59
336	76	59
337	76	59
338	76	58
339	76	58
340	76	58
341	76	57
342	76	57
343	76	57
344	76	56
345	77	56
346	77	56
347	77	55
348	77	55
349	77	55
350	77	54
351	77	54
352	77	54
353	77	54
354	77	53
355	77	53
356	77	53
357	78	52
358	78	52
359	78	52
360	78	51
361	78	51
362	78	51
363	78	50
364	78	50
365	78	50
366	78	50
367	78	49
368	79	49
369	79	49
370	79	48
371	79	48
372	79	48
373	79	48
374	79	47
375	79	47
376	79	47
377	79	46
378	80	46
379	80	46
380	80	46
381	80	45
382	80	45
383	80	45
384	80	44
385	80	44
386	80	44
387	80	44
388	80	43
389	80	43
390	81	43
391	81	43
392	81	42
393	81	42
394	81	42
395	81	42
396	81	41
397	81	41
398	81	41
399	81	40
400	81	40
401	82	40
402	82	40
403	82	39
404	82	39
405	82	39
406	82	39
407	82	38
408	82	38
409	82	38
410	82	38
411	82	37
412	83	37
413	83	37
414	83	37
415	83	36
416	83	36
417	83	36
418	83	36
419	83	35
420	83	35
421	83	35
422	83	35
423	84	34
424	84	34
425	84	34
426	84	34
427	84	33
428	84	33
429	84	33
430	84	33
431	84	32
432	84	32
433	84	32
434	85	32
435	85	32
436	85	31
437	85	31
438	85	31
439	85	31
440	85	30
441	85	30
442	85	30
443	85	30
444	85	29
445	85	29
446	86	29
447	86	29
448	86	29
449	86	28
450	86	28
451	86	28
452	86	28
453	86	27
454	86	27
455	86	27
456	86	27
457	87	26
458	87	26
459	87	26
460	87	26
461	87	26
462	87	25
463	87	25
464	87	25
465	87	25
466	87	25
467	87	24
468	88	24
469	88	24
470	88	24
471	88	23
472	88	23
473	88	23
474	88	23
475	88	23
476	88	22
477	88	22
478	88	22
479	89	22
480	89	22
481	89	21
482	89	21
483	89	21
484	89	21
485	89	21
486	89	20
487	89	20
488	89	20
489	89	20
490	90	19
491	90	19
492	90	19
493	90	19
494	90	19
495	90	18
496	90	18
497	90	18
498	90	18
499	90	18
500	90	17
501	90	17
502	91	17
503	91	17
504	91	17
505	91	16
506	91	16
507	91	16
508	91	16
509	91	16
510	91	15
511	91	15
512	92	15
513	92	15
514	92	15
515	92	15
516	92	14
517	92	14
518	92	14
519	92	14
520	92	14
521	92	13
522	92	13
523	93	13
524	93	13
525	93	13
526	93	12
527	93	12
528	93	12
529	93	12
530	93	12
531	93	11
532	93	11
533	93	11
534	94	11
535	94	11
536	94	11
537	94	10
538	94	10
539	94	10
540	94	10
541	94	10
542	94	9
543	94	9
544	94	9
545	94	9
546	95	9
547	95	9
548	95	8
549	95	8
550	95	8
551	95	8
552	95	8
553	95	7
554	95	7
555	95	7
556	96	7
557	96	7
558	96	7
559	96	6
560	96	6
561	96	6
562	96	6
563	96	6
564	96	5
565	96	5
566	96	5
567	96	5
568	97	5
569	97	5
570	97	4
571	97	4
572	97	4
573	97	4
574	97	4
575	97	4
576	97	3
577	97	3
578	97	3
579	98	3
580	98	3
581	98	3
582	98	2
583	98	2
584	98	2
585	98	2
586	98	2
587	98	2
588	98	1
589	98	1
590	99	1
591	99	1
592	99	1
593	99	1
594	99	0
595	99	0
596	99	0
597	99	0
598	99	0
599	99	0
