iter	RMSE
0	26.52899097
1	26.09508358
2	25.60945332
3	25.09254405
4	24.45192726
5	23.88109373
6	23.38562742
7	22.8993119
8	22.53701716
9	22.10734719
10	21.7059276
11	21.27463434
12	20.95481132
13	20.54495939
14	20.24255878
15	19.93942117
16	19.6375243
17	19.30827935
18	18.81630431
19	18.55066405
20	18.29150522
21	17.91262425
22	17.54381692
23	17.22854208
24	16.95725592
25	16.54813988
26	16.23962849
27	15.97786856
28	15.74574863
29	15.50768709
30	15.2179406
31	14.97482071
32	14.71372466
33	14.41983599
34	14.11623124
35	13.90352525
36	13.65137183
37	13.36347739
38	13.14593988
39	12.87936171
40	12.67601101
41	12.43352731
42	12.17959856
43	11.89384804
44	11.69856578
45	11.49064243
46	11.27040349
47	11.04941037
48	10.90672313
49	10.69315
50	10.49301148
51	10.31392747
52	10.15622661
53	10.01301342
54	9.833842632
55	9.628698221
56	9.425973135
57	9.251924744
58	9.085046996
59	8.922794889
60	8.78590578
61	8.670803592
62	8.522804528
63	8.375160699
64	8.253485292
65	8.101731388
66	7.942398282
67	7.841688382
68	7.683117408
69	7.568799368
70	7.423387394
71	7.311806346
72	7.199544323
73	7.073380508
74	6.958841804
75	6.860906904
76	6.741342721
77	6.657859692
78	6.540682671
79	6.427636503
80	6.329491379
81	6.256798526
82	6.149700054
83	6.074607781
84	5.963650904
85	5.891733824
86	5.802152754
87	5.703722885
88	5.623088012
89	5.560484353
90	5.491061624
91	5.423023023
92	5.36078013
93	5.270728224
94	5.179550718
95	5.104941673
96	5.025812505
97	4.963331678
98	4.894935281
99	4.81898811
100	4.734936995
101	4.679650008
102	4.615914201
103	4.537525664
104	4.469691419
105	4.383786663
106	4.319842507
107	4.259822383
108	4.206909481
109	4.144097825
110	4.088985414
111	4.029650285
112	3.971454367
113	3.903477633
114	3.860865107
115	3.812351668
116	3.74677945
117	3.683390951
118	3.639395577
119	3.589234767
120	3.533511763
121	3.493717475
122	3.441754199
123	3.384262649
124	3.341452238
125	3.304524018
126	3.248785607
127	3.221970201
128	3.187452744
129	3.136759846
130	3.089379892
131	3.057609669
132	3.034463567
133	2.987522613
134	2.948002061
135	2.924434486
136	2.880603633
137	2.838279969
138	2.817385045
139	2.782993294
140	2.74314883
141	2.723034701
142	2.692504123
143	2.666635865
144	2.634555764
145	2.616121639
146	2.579051838
147	2.551419032
148	2.533584671
149	2.50171411
150	2.467108779
151	2.450047913
152	2.421668593
153	2.404969827
154	2.379994247
155	2.359957337
156	2.340416114
157	2.312049006
158	2.277032719
159	2.246581395
160	2.214097857
161	2.199344906
162	2.181710646
163	2.156929805
164	2.124963107
165	2.094057855
166	2.064181693
167	2.045136077
168	2.02941623
169	2.00119917
170	1.986110407
171	1.964547322
172	1.937881223
173	1.92188133
174	1.8964398
